time,active_fires,burnt_area,largest_cluster,tree_density,percolation_indicator
0.00,0,0,0,0.700,0.269
1.00,2,0,1,0.700,0.269
1.02,4,0,1,0.702,0.269
1.03,7,0,1,0.702,0.269
1.04,15,0,5,0.701,0.269
1.05,26,0,9,0.701,0.269
1.06,40,0,15,0.701,0.269
1.07,55,1,19,0.701,0.270
1.08,76,1,25,0.700,0.270
1.09,101,1,31,0.700,0.270
1.10,129,1,39,0.700,0.270
1.11,163,1,44,0.699,0.270
1.12,194,2,49,0.698,0.271
1.13,229,3,56,0.698,0.271
1.14,270,3,70,0.697,0.271
1.15,305,5,81,0.697,0.272
1.16,342,6,98,0.696,0.272
1.17,386,8,114,0.695,0.273
1.18,427,9,131,0.694,0.273
1.19,467,9,144,0.694,0.274
1.20,515,9,165,0.693,0.274
1.21,560,9,182,0.692,0.275
1.22,605,11,198,0.691,0.275
1.23,651,12,211,0.691,0.276
1.24,691,14,227,0.690,0.276
1.25,736,16,244,0.689,0.277
1.26,791,17,264,0.688,0.278
1.27,841,18,284,0.687,0.278
1.28,888,18,303,0.687,0.279
1.29,937,20,318,0.686,0.279
1.30,990,20,335,0.685,0.280
1.31,1048,20,351,0.684,0.281
1.32,1102,21,377,0.683,0.281
1.33,1154,21,392,0.682,0.282
1.34,1205,21,409,0.681,0.283
1.35,1257,23,430,0.680,0.283
1.36,1310,26,452,0.679,0.284
1.37,1369,28,471,0.678,0.285
1.38,1426,30,492,0.677,0.285
1.39,1489,31,515,0.676,0.286
1.40,1544,31,533,0.675,0.287
1.41,1603,31,553,0.674,0.287
1.42,1654,31,570,0.674,0.288
1.43,1717,32,593,0.673,0.289
1.44,1778,32,617,0.672,0.290
1.45,1842,32,643,0.670,0.291
1.46,1899,34,666,0.669,0.291
1.47,1954,34,688,0.669,0.292
1.48,2011,35,708,0.668,0.293
1.49,2062,35,724,0.667,0.293
1.50,2127,35,752,0.666,0.294
1.51,2184,38,772,0.665,0.295
1.52,2243,38,794,0.664,0.296
1.53,2304,40,814,0.663,0.296
1.54,2369,40,834,0.662,0.297
1.55,2434,40,864,0.660,0.298
1.56,2497,41,889,0.659,0.299
1.57,2568,42,921,0.658,0.300
1.58,2630,49,947,0.657,0.301
1.59,2699,49,971,0.656,0.302
1.60,2769,49,992,0.655,0.303
1.61,2831,49,1012,0.654,0.303
1.62,2897,50,1038,0.653,0.304
1.63,2968,51,1065,0.651,0.305
1.64,3035,52,1088,0.650,0.306
1.65,3101,52,1117,0.649,0.307
1.66,3168,54,1145,0.648,0.308
1.67,3247,57,1181,0.647,0.309
1.68,3325,57,1211,0.645,0.310
1.69,3402,57,1241,0.644,0.311
1.70,3484,57,1265,0.643,0.312
1.71,3550,57,1295,0.642,0.313
1.72,3623,57,1321,0.640,0.314
1.73,3691,58,1348,0.639,0.315
1.74,3764,60,1374,0.638,0.316
1.75,3846,60,1402,0.637,0.317
1.76,3933,60,1432,0.635,0.318
1.77,4019,60,1464,0.634,0.320
1.78,4106,61,1492,0.632,0.321
1.79,4189,62,1522,0.631,0.322
1.80,4276,64,1555,0.629,0.323
1.81,4363,67,1587,0.628,0.324
1.82,4456,67,1619,0.626,0.325
1.83,4544,68,1646,0.625,0.326
1.84,4635,70,1674,0.623,0.327
1.85,4726,70,1706,0.622,0.328
1.86,4821,71,1732,0.620,0.329
1.87,4912,71,1758,0.619,0.330
1.88,5008,71,1792,0.617,0.332
1.89,5097,72,1817,0.616,0.332
1.90,5204,73,1845,0.614,0.333
1.91,5307,75,1874,0.612,0.335
1.92,5408,79,1902,0.610,0.336
1.93,5515,81,1938,0.608,0.337
1.94,5621,81,1963,0.607,0.338
1.95,5728,82,1993,0.605,0.339
1.96,5838,84,2023,0.603,0.340
1.97,5948,84,2054,0.601,0.341
1.98,6059,85,2087,0.599,0.343
1.99,6162,86,2110,0.598,0.343
2.00,6272,88,2138,0.596,0.344
